district_id,district_name,latitude,longitude,date,tempmax,tempmin,temp,humidity,precip,windspeed,sealevelpressure,solarradiation,pm2p5,pm10,AOD
1,Bangalore,12.9716,77.5946,2023-03-31,33.8,21.9,26.9,59.5,0.001,13.3,1014.1,234.6,45.0,65.0,0.216594167
1,Bangalore,12.9716,77.5946,2023-04-01,33.8,23.0,27.4,58.9,0.1,13.0,1014.0,258.1,37.0,54.0,0.242791325
1,Bangalore,12.9716,77.5946,2023-04-02,33.9,22.0,27.3,59.4,0.0,14.9,1014.0,292.0,28.0,41.0,0.15284935
1,Bangalore,12.9716,77.5946,2023-04-03,32.6,22.0,27.1,61.8,0.995,16.6,1013.8,294.0,23.0,33.0,0.236000284
1,Bangalore,12.9716,77.5946,2023-04-04,30.8,20.1,25.1,72.8,0.004,20.1,1015.3,208.7,36.0,53.0,0.256281599
1,Bangalore,12.9716,77.5946,2023-04-05,32.0,21.0,26.9,63.5,0.229,14.8,1014.6,259.7,38.0,55.0,0.373637215
1,Bangalore,12.9716,77.5946,2023-04-06,33.1,22.0,27.1,60.8,0.0,12.8,1015.3,230.8,35.0,52.0,0.496539532
1,Bangalore,12.9716,77.5946,2023-04-07,32.0,21.5,26.4,60.9,0.0,14.7,1016.7,276.4,26.0,38.0,0.827525184
1,Bangalore,12.9716,77.5946,2023-04-08,33.0,20.0,26.5,54.3,0.0,22.6,1018.1,316.8,22.0,34.0,0.426476372
1,Bangalore,12.9716,77.5946,2023-04-09,34.0,19.5,26.1,58.1,0.0,20.1,1018.4,318.0,19.0,29.0,0.2698302
1,Bangalore,12.9716,77.5946,2023-04-10,32.6,20.0,26.4,59.2,0.0,18.4,1017.3,308.2,16.0,24.0,0.23584141
1,Bangalore,12.9716,77.5946,2023-04-11,35.0,19.0,26.9,47.2,0.0,18.2,1017.1,322.3,18.0,26.0,0.2041187
1,Bangalore,12.9716,77.5946,2023-04-12,35.0,19.0,27.5,38.2,0.0,18.6,1016.8,324.7,19.0,28.0,0.327772724
1,Bangalore,12.9716,77.5946,2023-04-13,36.0,19.5,27.8,35.2,0.0,22.3,1016.2,323.4,23.0,34.0,0.429953064
1,Bangalore,12.9716,77.5946,2023-04-14,35.0,20.1,28.0,34.7,0.0,25.9,1016.0,321.1,28.0,41.0,0.72607392
1,Bangalore,12.9716,77.5946,2023-04-15,34.0,19.5,26.8,38.8,0.0,22.3,1015.7,285.8,30.0,44.0,0.542490685
1,Bangalore,12.9716,77.5946,2023-04-16,35.6,19.0,27.2,37.1,0.0,26.8,1014.2,326.4,28.0,41.0,0.414708639
1,Bangalore,12.9716,77.5946,2023-04-17,34.1,19.5,27.3,38.2,0.0,22.3,1014.4,323.6,32.0,46.0,0.469759386
1,Bangalore,12.9716,77.5946,2023-04-18,34.5,20.0,27.9,36.8,0.0,19.4,1015.3,322.8,28.0,41.0,0.337444368
1,Bangalore,12.9716,77.5946,2023-04-19,35.6,20.5,28.1,42.0,0.0,12.0,1013.4,319.6,35.0,51.0,0.699045294
1,Bangalore,12.9716,77.5946,2023-04-20,35.1,23.0,28.8,48.6,0.0,15.7,1011.3,288.7,44.0,63.0,0.496590766
1,Bangalore,12.9716,77.5946,2023-04-21,33.6,22.0,25.8,65.6,6.962,27.7,1011.6,262.9,42.0,62.0,0.658194235
1,Bangalore,12.9716,77.5946,2023-04-22,34.0,22.5,26.5,59.3,0.5,17.5,1011.8,272.7,42.0,61.0,0.433698471
