time,AOD,state 
25-08-2023,0.27642254,Karnataka
26-08-2023,0.249639613,Karnataka
27-08-2023,0.173194832,Karnataka
28-08-2023,0.161354462,Karnataka
29-08-2023,0.029000001,Karnataka
30-08-2023,0.422222489,Karnataka
31-08-2023,0.396914571,Karnataka
01-09-2023,0.47447919,Karnataka
02-09-2023,0.637780132,Karnataka
03-09-2023,-9999,Karnataka
04-09-2023,0.553697635,Karnataka
05-09-2023,0.482906965,Karnataka
06-09-2023,0.581911111,Karnataka
07-09-2023,0.237849063,Karnataka
08-09-2023,0.164000008,Karnataka
09-09-2023,0.215911852,Karnataka
10-09-2023,0.316000015,Karnataka
11-09-2023,0.387893196,Karnataka
12-09-2023,0.202118095,Karnataka
13-09-2023,0.30543802,Karnataka
14-09-2023,0.336120533,Karnataka
15-09-2023,0.240043437,Karnataka
16-09-2023,0.238680712,Karnataka
17-09-2023,0.144802783,Karnataka
18-09-2023,0.263660915,Karnataka
19-09-2023,0.148986026,Karnataka
20-09-2023,0.263000012,Karnataka
21-09-2023,0.340176542,Karnataka
22-09-2023,-9999,Karnataka
23-09-2023,0.41072032,Karnataka
24-09-2023,0.182417463,Karnataka
25-09-2023,-9999,Karnataka
26-09-2023,0.411617836,Karnataka
27-09-2023,0.250695759,Karnataka
28-09-2023,0.292704546,Karnataka
29-09-2023,0.117348542,Karnataka
30-09-2023,0.285369224,Karnataka
01-10-2023,0.355396121,Karnataka
02-10-2023,0.251442904,Karnataka
03-10-2023,0.56059085,Karnataka
04-10-2023,0.533317472,Karnataka
05-10-2023,0.446459156,Karnataka
06-10-2023,0.383852239,Karnataka
07-10-2023,0.440489683,Karnataka
08-10-2023,0.528238808,Karnataka
09-10-2023,0.622565095,Karnataka
10-10-2023,0.703782579,Karnataka
11-10-2023,0.934095609,Karnataka
12-10-2023,0.756072415,Karnataka
13-10-2023,0.507806063,Karnataka
14-10-2023,0.617201594,Karnataka
15-10-2023,0.728732107,Karnataka
16-10-2023,0.977466208,Karnataka
17-10-2023,0.765996315,Karnataka
18-10-2023,0.756378338,Karnataka
19-10-2023,0.725960484,Karnataka
20-10-2023,0.778089751,Karnataka
21-10-2023,1.14229785,Karnataka
22-10-2023,0.7678437,Karnataka
23-10-2023,0.560439174,Karnataka
24-10-2023,0.468933199,Karnataka
25-10-2023,0.425185365,Karnataka
26-10-2023,0.522594242,Karnataka
27-10-2023,0.452177224,Karnataka
28-10-2023,0.704420865,Karnataka
29-10-2023,0.636930739,Karnataka
30-10-2023,0.930558484,Karnataka
31-10-2023,1.30958738,Karnataka
01-11-2023,0.854299306,Karnataka
02-11-2023,1.14969667,Karnataka
03-11-2023,0.828935551,Karnataka
04-11-2023,1.39601489,Karnataka
05-11-2023,1.32051295,Karnataka
06-11-2023,0.509239734,Karnataka
07-11-2023,0.198084917,Karnataka
08-11-2023,0.454466017,Karnataka
09-11-2023,0.567892301,Karnataka
10-11-2023,0.51124213,Karnataka
11-11-2023,0.40314929,Karnataka
12-11-2023,0.69909698,Karnataka
13-11-2023,0.638985597,Karnataka
14-11-2023,0.802563647,Karnataka
15-11-2023,0.802595843,Karnataka
16-11-2023,0.984024259,Karnataka
17-11-2023,0.820033171,Karnataka
18-11-2023,0.719960731,Karnataka
19-11-2023,1.02775289,Karnataka
20-11-2023,0.43715836,Karnataka
21-11-2023,0.465564437,Karnataka
22-11-2023,0.483727137,Karnataka
23-11-2023,0.721274962,Karnataka
24-11-2023,-9999,Karnataka
25-11-2023,0.430826817,Karnataka
26-11-2023,0.506167168,Karnataka
27-11-2023,0.517326909,Karnataka
28-11-2023,0.301637517,Karnataka
29-11-2023,0.340129045,Karnataka
30-11-2023,0.206773077,Karnataka
01-12-2023,0.30483252,Karnataka
02-12-2023,0.331472537,Karnataka
03-12-2023,0.29279575,Karnataka
04-12-2023,-9999,Karnataka
05-12-2023,0.373901308,Karnataka
06-12-2023,0.358021517,Karnataka
07-12-2023,0.538203386,Karnataka
08-12-2023,0.535414076,Karnataka
09-12-2023,0.558588592,Karnataka
10-12-2023,0.486306569,Karnataka
11-12-2023,0.563740104,Karnataka
12-12-2023,0.547853816,Karnataka
13-12-2023,0.655939224,Karnataka
14-12-2023,0.532228467,Karnataka
15-12-2023,0.592582541,Karnataka
16-12-2023,1.4761106,Karnataka
17-12-2023,0.739794971,Karnataka
18-12-2023,0.881866178,Karnataka
19-12-2023,0.599256024,Karnataka
20-12-2023,0.758784147,Karnataka
21-12-2023,0.549314413,Karnataka
22-12-2023,0.560678137,Karnataka
23-12-2023,0.599985473,Karnataka
24-12-2023,0.432419382,Karnataka
25-12-2023,0.444654102,Karnataka
26-12-2023,0.345175749,Karnataka
27-12-2023,0.311821055,Karnataka
28-12-2023,0.387505576,Karnataka
29-12-2023,0.276857605,Karnataka
30-12-2023,0.233856603,Karnataka
31-12-2023,0.339086758,Karnataka
01-01-2024,0.521539557,Karnataka
02-01-2024,0.772800054,Karnataka
03-01-2024,0.904379153,Karnataka
04-01-2024,1.49750298,Karnataka
05-01-2024,0.776974707,Karnataka
06-01-2024,0.645788179,Karnataka
07-01-2024,0.497828146,Karnataka
08-01-2024,0.520203699,Karnataka
09-01-2024,0.625657552,Karnataka
10-01-2024,0.312675313,Karnataka
11-01-2024,0.257686145,Karnataka
12-01-2024,0.333752387,Karnataka
13-01-2024,0.637607312,Karnataka
14-01-2024,0.685287685,Karnataka
15-01-2024,0.573627146,Karnataka
16-01-2024,0.705867745,Karnataka
17-01-2024,0.655346342,Karnataka
18-01-2024,0.796058056,Karnataka
19-01-2024,0.585264959,Karnataka
20-01-2024,0.703845998,Karnataka
21-01-2024,0.895671952,Karnataka
22-01-2024,0.49366873,Karnataka
23-01-2024,0.464482042,Karnataka
24-01-2024,0.535476347,Karnataka
25-01-2024,0.599322431,Karnataka
26-01-2024,0.975309399,Karnataka
27-01-2024,0.478582607,Karnataka
28-01-2024,0.671227365,Karnataka
29-01-2024,0.46091262,Karnataka
30-01-2024,0.480613265,Karnataka
31-01-2024,0.472120893,Karnataka
01-02-2024,0.281887191,Karnataka
02-02-2024,0.568108513,Karnataka
03-02-2024,0.53017396,Karnataka
04-02-2024,0.604663207,Karnataka
05-02-2024,0.415113167,Karnataka
06-02-2024,0.294644509,Karnataka
07-02-2024,0.284354553,Karnataka
08-02-2024,0.39477921,Karnataka
09-02-2024,0.34214784,Karnataka
10-02-2024,0.454298281,Karnataka
11-02-2024,0.388304733,Karnataka
12-02-2024,0.330624689,Karnataka
13-02-2024,0.245764328,Karnataka
14-02-2024,0.303355959,Karnataka
15-02-2024,0.255279269,Karnataka
16-02-2024,0.116405172,Karnataka
17-02-2024,0.207236898,Karnataka
18-02-2024,0.211009588,Karnataka
19-02-2024,0.286278052,Karnataka
20-02-2024,0.356359593,Karnataka
21-02-2024,0.242386041,Karnataka
22-02-2024,0.281308062,Karnataka
23-02-2024,0.222998019,Karnataka
24-02-2024,0.492781624,Karnataka
25-02-2024,0.686976765,Karnataka
26-02-2024,0.569430652,Karnataka
27-02-2024,0.307081171,Karnataka
28-02-2024,0.293508514,Karnataka
29-02-2024,0.355801172,Karnataka
01-03-2024,0.297342136,Karnataka
02-03-2024,0.38421342,Karnataka
03-03-2024,0.344465903,Karnataka
04-03-2024,0.468116597,Karnataka
05-03-2024,0.366476869,Karnataka
06-03-2024,0.492944242,Karnataka
07-03-2024,0.396307804,Karnataka
08-03-2024,0.346273037,Karnataka
09-03-2024,0.397559707,Karnataka
10-03-2024,0.638647309,Karnataka
11-03-2024,0.913836389,Karnataka
12-03-2024,0.706617479,Karnataka
13-03-2024,0.727577067,Karnataka
14-03-2024,0.607836128,Karnataka
15-03-2024,0.635306612,Karnataka
16-03-2024,0.890113812,Karnataka
17-03-2024,0.604008289,Karnataka
18-03-2024,0.694206524,Karnataka
19-03-2024,0.714945905,Karnataka
20-03-2024,0.456477171,Karnataka
21-03-2024,0.557325841,Karnataka
22-03-2024,0.553898422,Karnataka
23-03-2024,0.584048773,Karnataka
24-03-2024,0.588766272,Karnataka
25-03-2024,0.663608445,Karnataka
26-03-2024,0.733541901,Karnataka
27-03-2024,0.485089998,Karnataka
28-03-2024,0.608109549,Karnataka
29-03-2024,0.535390589,Karnataka
30-03-2024,0.611742799,Karnataka
31-03-2024,0.535554314,Karnataka
01-04-2024,0.402054844,Karnataka
02-04-2024,0.47379103,Karnataka
03-04-2024,0.580682312,Karnataka
04-04-2024,0.4904896,Karnataka
05-04-2024,0.455838648,Karnataka
06-04-2024,0.472828721,Karnataka
07-04-2024,0.629705572,Karnataka
08-04-2024,0.412519554,Karnataka
09-04-2024,0.478835755,Karnataka
10-04-2024,0.49297622,Karnataka
11-04-2024,0.547316626,Karnataka
12-04-2024,0.741221455,Karnataka
13-04-2024,0.450113087,Karnataka
14-04-2024,0.402392257,Karnataka
15-04-2024,-9999,Karnataka
16-04-2024,0.405673938,Karnataka
17-04-2024,0.790723493,Karnataka
18-04-2024,0.748302194,Karnataka
19-04-2024,1.28333988,Karnataka
